Exit Status,Has CPA,Years Experience,Current Salary + Bonus,Years Public Before Exit,Current Industry,What COL is your region?,Gender,Line of Service,Average Hours Per Week
I have already exited from a mid-tier or local accounting firm,No,1.0,80000.0,1.0,Government,Medium,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,No,1.0,46000.0,,Public Accounting,High,Male,Audit,16.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,63000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,No,2.0,68000.0,,Public Accounting,High,Female,Audit,45.0
I am currently working at a mid-tier or local accounting firm,No,1.0,55000.0,,Public Accounting,Medium,Female,Tax and Audit,40.0
I have never worked at a public accounting firm,No,10.0,86000.0,,Medical,Medium,Male,Audit,40.0
I am currently working at a Big 4 accounting firm,Yes,6.0,108000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,9.0,75000.0,,Public Accounting,High,Female,Tax,45.0
I have never worked at a public accounting firm,No,5.0,45000.0,,Manufacturing,Medium,Female,Other,42.0
I am currently working at a Big 4 accounting firm,Yes,3.0,64500.0,,Public Accounting,Low,Male,Audit,47.0
I am currently working at a mid-tier or local accounting firm,No,3.0,47000.0,,Public Accounting,Medium,Female,Advisory,40.0
I have already exited from a mid-tier or local accounting firm,Yes,11.0,196000.0,8.0,Other,Medium,Male,Tax,35.0
I am currently working at a mid-tier or local accounting firm,Yes,8.0,95000.0,,Public Accounting,High,Female,Other,48.0
I am still in school,No,3.0,72000.0,,Other,Medium,Male,Other,
I have already exited from a Big 4 Accounting firm,Yes,14.0,190000.0,14.0,Finance,High,Female,Advisory,49.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,78000.0,,Public Accounting,High,Female,Audit,40.0
I am currently working at a Big 4 accounting firm,No,3.0,90000.0,,Public Accounting,High,Male,Advisory,40.0
I am currently working at a mid-tier or local accounting firm,Yes,5.0,75000.0,,Public Accounting,Low,Male,Tax,45.0
I am currently working at a Big 4 accounting firm,Yes,4.0,67500.0,,Public Accounting,Low,Male,Audit,60.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,71000.0,,Public Accounting,High,Male,Audit,40.0
I have never worked at a public accounting firm,No,1.0,25000.0,,Finance,Medium,Male,Other,30.0
I have already exited from a Big 4 Accounting firm,Yes,15.0,265000.0,5.0,Agriculture/Food processing,Medium,Male,Audit,45.0
I am still in school,No,3.0,72000.0,,Other,Medium,Male,Other,
I have already exited from a Big 4 Accounting firm,Yes,15.0,195000.0,9.0,Energy,High,Male,Tax,45.0
I am currently working at a Big 4 accounting firm,No,5.0,80000.0,,Public Accounting,High,Male,Audit,40.0
I am currently working at a Big 4 accounting firm,No,3.0,66000.0,,Public Accounting,High,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,Yes,2.0,58350.0,,Public Accounting,Low,Female,Tax and Audit,40.0
I am currently working at a mid-tier or local accounting firm,Yes,6.0,75000.0,,Public Accounting,Medium,Male,Audit,46.0
I am currently working at a Big 4 accounting firm,No,2.0,56000.0,,Public Accounting,Low,Male,Audit,45.0
I have already exited from a Big 4 Accounting firm,Finishing Exp Req,17.0,80000.0,2.0,Finance,Medium,Female,Advisory,40.0
I am currently working at a Big 4 accounting firm,Yes,9.0,133000.0,,Public Accounting,High,Male,Advisory,45.0
I have already exited from a Big 4 Accounting firm,Yes,16.0,403000.0,12.0,Other,High,Male,Audit,
I have never worked at a public accounting firm,No,3.0,35000.0,,Other,Low,Male,Other,40.0
I am currently working at a mid-tier or local accounting firm,No,1.0,51200.0,,Public Accounting,Low,Female,Audit,40.0
I have already exited from a mid-tier or local accounting firm,No,3.5,75141.0,2.0,Finance,Medium,Male,Audit,37.5
I have already exited from a Big 4 Accounting firm,No,20.0,175000.0,5.0,Finance,High,Male,Tax,30.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,55400.0,,Public Accounting,Medium,Male,Audit,50.0
I have already exited from a Big 4 Accounting firm,No,5.0,102000.0,5.0,Technology,Medium,Male,Advisory,50.0
I am currently working at a Big 4 accounting firm,Yes,3.0,79000.0,,Public Accounting,High,Male,Audit,55.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,78500.0,,Public Accounting,High,Female,Advisory,55.0
I have never worked at a public accounting firm,No,6.0,66000.0,,Manufacturing,Medium,Male,Other,40.0
I have never worked at a public accounting firm,Yes,6.0,95000.0,,Manufacturing,High,Male,Other,45.0
I am currently working at a mid-tier or local accounting firm,No,1.0,71500.0,,Public Accounting,High,Female,Tax,45.0
I am currently working at a Big 4 accounting firm,Yes,7.0,142000.0,,Public Accounting,High,Male,Tax,45.0
I am still in school,No,3.0,63000.0,,Public Accounting,High,Male,Tax,60.0
I am currently working at a mid-tier or local accounting firm,No,1.0,61000.0,,Public Accounting,Medium,Male,Tax,40.0
I am currently working at a mid-tier or local accounting firm,No,3.0,66000.0,,Public Accounting,Low,Female,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Yes,4.0,60000.0,,Public Accounting,Low,Male,Tax,42.5
I am currently working at a Big 4 accounting firm,Yes,3.0,80000.0,,Public Accounting,High,Male,Audit,45.0
I have never worked at a public accounting firm,No,6.0,132000.0,,Manufacturing,Medium,Female,Other,45.0
I am currently working at a mid-tier or local accounting firm,No,3.0,75000.0,,Public Accounting,High,Male,Tax,48.0
I have already exited from a mid-tier or local accounting firm,No,10.0,115000.0,4.5,Other,High,Female,Audit,35.0
I am currently working at a Big 4 accounting firm,Yes,3.0,68000.0,,Public Accounting,Medium,Female,Audit,52.0
I am currently working at a mid-tier or local accounting firm,No,1.0,53550.0,,Public Accounting,Low,Male,Audit,40.0
I have already exited from a Big 4 Accounting firm,Yes,20.0,415000.0,15.0,Medical,High,Male,Audit,45.0
I have already exited from a mid-tier or local accounting firm,Yes,7.0,400000.0,2.0,Medical,High,Male,Audit,50.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,2.0,60000.0,,Public Accounting,Medium,Male,Audit,50.0
I have never worked at a public accounting firm,No,10.0,95000.0,,Manufacturing,Medium,Male,Tax,50.0
I am currently working at a Big 4 accounting firm,No,3.0,59000.0,,Public Accounting,High,Male,Tax,
I am currently working at a Big 4 accounting firm,No,1.0,57000.0,,Public Accounting,Medium,Female,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Yes,2.0,68000.0,,Public Accounting,Medium,Undisclosed,Tax,65.0
I am currently working at a Big 4 accounting firm,Yes,4.0,88000.0,,Public Accounting,Medium,Male,Advisory,55.0
I am currently working at a mid-tier or local accounting firm,No,4.0,74250.0,,Public Accounting,Medium,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,No,1.5,59000.0,,Public Accounting,Low,Female,Tax,40.0
I am currently working at a Big 4 accounting firm,No,3.0,69000.0,,Public Accounting,High,Undisclosed,Advisory,45.0
I am currently working at a mid-tier or local accounting firm,Yes,2.5,64000.0,,Public Accounting,High,Male,Tax,50.0
I have never worked at a public accounting firm,No,5.0,90000.0,,Finance,Medium,Male,Other,40.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,52000.0,,Public Accounting,Medium,Male,Audit,45.0
I have never worked at a public accounting firm,No,7.0,77000.0,,Other,Medium,Female,Advisory,40.0
I am currently working at a Big 4 accounting firm,No,3.0,66000.0,,Public Accounting,High,Male,Advisory,45.0
I am currently working at a mid-tier or local accounting firm,Yes,4.0,95000.0,,Public Accounting,High,Male,Tax,50.0
I have already exited from a Big 4 Accounting firm,Yes,30.0,550000.0,27.0,Medical,Low,Male,Audit,
I am currently working at a Big 4 accounting firm,No,3.0,72000.0,,Public Accounting,High,Female,Audit,
I am currently working at a Big 4 accounting firm,No,1.0,54000.0,,Public Accounting,Medium,Female,Tax,50.0
I am currently working at a Big 4 accounting firm,No,1.0,64000.0,,Public Accounting,High,Female,Audit,40.0
I am currently working at a Big 4 accounting firm,Yes,3.0,68000.0,,Public Accounting,Low,Male,Audit,50.0
I am currently working at a Big 4 accounting firm,No,2.0,69000.0,,Public Accounting,High,Male,Audit,50.0
I have never worked at a public accounting firm,No,6.0,112000.0,,Manufacturing,Low,Male,Advisory,45.0
I have never worked at a public accounting firm,Yes,4.0,66150.0,,Other,Low,Male,Other,40.0
I am currently working at a Big 4 accounting firm,Yes,3.0,85000.0,,Public Accounting,High,Male,Tax,55.0
I am currently working at a Big 4 accounting firm,Yes,2.0,80000.0,,Public Accounting,High,Female,Tax,45.0
I have already exited from a mid-tier or local accounting firm,No,3.8,80000.0,1.5,Agriculture/Food processing,Low,Male,Tax,25.0
I am currently working at a Big 4 accounting firm,Yes,2.0,57500.0,,Public Accounting,Low,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,Yes,4.0,95000.0,,Public Accounting,High,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,65000.0,,Public Accounting,Medium,Male,Tax,50.0
I am currently working at a Big 4 accounting firm,No,4.0,173000.0,,Public Accounting,Medium,Male,Tax,50.0
I have never worked at a public accounting firm,No,5.0,125000.0,,Other,High,Female,Other,45.0
I am currently working at a mid-tier or local accounting firm,No,1.0,60000.0,,Public Accounting,Medium,Female,Audit,55.0
I have already exited from a Big 4 Accounting firm,Yes,10.0,145000.0,2.0,Medical,High,Undisclosed,Audit,45.0
I have already exited from a Big 4 Accounting firm,Yes,3.0,105000.0,2.0,Technology,High,Male,Tax,50.0
I have already exited from a Big 4 Accounting firm,Yes,3.0,105000.0,2.0,Technology,High,Male,Tax,50.0
I am currently working at a mid-tier or local accounting firm,No,10.0,61000.0,,Public Accounting,Low,Female,Audit,50.0
I have already exited from a mid-tier or local accounting firm,Yes,8.0,149500.0,3.0,Construction,High,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,54000.0,,Public Accounting,Medium,Male,Tax,
I am still in school,No,3.0,64000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,No,1.0,66900.0,,Public Accounting,Low,Female,Advisory,55.0
I have never worked at a public accounting firm,Yes,5.0,100000.0,,Finance,High,Male,Advisory,40.0
